"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
20461,23,874,"19:00:00","20:00:00",4,18895,"","","2020-10-05 16:00:07"
20462,23,875,"19:00:00","20:00:00",11,18953,"","","2020-10-05 16:00:08"
20465,23,893,"19:00:00","20:00:00",6,20129,"","","2020-10-05 16:00:05"
20466,23,894,"19:00:00","20:00:00",8,20130,"","","2020-10-05 16:00:07"
20467,23,895,"19:00:00","20:00:00",10,20131,"","","2020-10-05 16:00:08"
20469,23,907,"17:30:00","18:30:00",5,19112,"","","2020-10-05 16:00:04"
20470,23,908,"17:30:00","18:30:00",8,19113,"","","2020-10-05 16:00:06"
20473,23,919,"19:00:00","20:00:00",9,18904,"","","2020-10-05 16:00:06"
20474,23,920,"19:00:00","20:00:00",9,18905,"","","2020-10-05 16:00:08"
20477,23,934,"19:00:00","20:00:00",7,18689,"","","2020-10-05 16:00:04"
20478,23,935,"19:00:00","20:00:00",5,19975,"","","2020-10-05 16:00:05"
20479,23,936,"19:00:00","20:00:00",12,18690,"","","2020-10-05 16:00:07"
20480,23,937,"19:00:00","20:00:00",12,19976,"","","2020-10-05 16:00:07"
20569,23,1313,"19:00:00","20:00:00",10,24254,"","","2020-10-05 16:00:04"
20570,23,1314,"19:00:00","20:00:00",5,18584,"","","2020-10-05 16:00:04"
20572,23,1316,"16:00:00","17:00:00",12,19863,"","","2020-10-05 16:00:04"
20573,23,1317,"19:00:00","20:00:00",4,19778,"","","2020-10-05 16:00:04"
